Year,Assessed value,Percent change,Population
1817,57799435,,
1818,59846185,3.54,
1819,60490445,1.08,
1820,52063858,-13.93,123706
1821,50619820,-2.77,
1822,53331574,5.36,
1823,50184229,-5.9,
1824,52019730,3.66,
1825,58425395,12.31,166086
1826,64804050,10.92,
1827,72617770,12.06,
1828,77138880,6.23,
1829,76130430,-1.3,
1830,87603580,15.07,197092
1831,95594335,9.12,
1832,104160605,8.96,
1833,114124566,9.57,
1834,123249280,7.99,
1835,143742425,16.63,270089
1836,233732303,62.6,
1837,196450109,-12.19,
1838,194543359,-0.97,
1839,196940134,1.23,
1840,187221714,-4.94,312710
1841,186359948,-0.46,
1842,176513092,-5.28,
1843,164955314,-6.55,
1844,171937591,4.23,
1845,177207990,3.07,371223
1846,183480534,3.54,
1847,187315386,2.09,
1848,193029076,3.05,
1849,197741919,2.44,
1850,207142576,4.75,515547
