,,,,,,,,,,,1842,
Ward,1834,1835,1836,1837,1838,1839,1840,1841,1842,"All years, 1834–1842",Inhabited cellars,Courts and rear buildings
1,43,106,609,59,33,42,43,25,29,989,36,16
2,32,68,102,18,27,51,50,46,15,409,1,9
3,11,55,22,11,19,15,10,10,28,181,14,30
4,11,18,24,18,28,15,37,10,10,171,35,38
5,20,12,25,32,5,17,21,21,6,159,111,96
6,34,10,9,21,8,10,25,12,44,173,56,130
7,43,80,81,45,31,30,30,41,18,399,146,81
8,36,38,26,19,14,17,40,22,26,238,89,187
9,122,105,85,52,80,46,78,102,73,743,26,91
10,49,28,44,25,17,21,13,41,53,291,104,176
11,204,249,150,77,100,82,48,104,104,1118,240,157
12,122,274,110,89,69,59,66,66,63,918,-,-
13,40,44,43,39,25,28,46,29,21,315,252,204
14,34,35,34,28,37,26,22,18,24,258,140,189
15,75,137,140,50,80,63,60,75,80,760,-,122
16,-,-,116,180,98,75,192,215,215,1091,-,-
17,-,-,-,77,110,77,69,134,103,570,209,201
All wards,877,1259,1620,840,781,674,850,971,912,8783,1459,1727
