,,,Landowners,,,,
Ward,Population,Families,Number,Percent of families,Number of houses,Families per house,People per house
1,13486,2646,302,11.4,660,4.01,20.4
2,3249,434,79,18.2,256,1.7,12.7
3,7909,1012,279,27.6,419,2.42,18.9
4,22895,4732,159,3.4,1162,4.07,19.7
5,21617,4233,432,10.2,1620,2.61,13.3
6,25562,5241,288,5.5,1133,4.63,22.6
7,34422,6811,718,10.5,2104,3.24,16.4
8,34052,7066,863,12.2,2560,2.76,13.3
9,39982,7745,1287,16.6,3339,2.32,13.3
10,26378,5825,450,7.7,1713,3.4,15.4
11,52979,11893,798,6.7,2454,4.85,21.6
12,17656,2335,602,25.8,1700,1.37,10.4
13,26597,6040,270,4.5,1652,3.66,16.1
14,24754,5143,258,5,1467,3.51,16.8
15,24046,3690,1192,32.3,2268,1.63,10.6
16,39823,8125,1028,12.7,2938,2.77,13.5
17,59548,12708,857,6.7,3340,3.8,17.8
18,39509,7551,1703,22.6,2599,2.91,15.2
19,17796,2796,522,18.7,1651,1.69,10.8
20,47055,10178,1025,10.1,3250,3.13,14.5
21,27914,5451,995,18.3,1968,2.77,14.2
22,22605,4903,650,13.3,2355,2.08,9.6
All wards,629904,126558,14784,11.7,42668,2.97,14.8
